estado,situacao,votos,eleicao,ano,turno
Ceará,VOTOS EM BRANCO,55448, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,VOTOS EM BRANCO,27453, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,VOTOS EM BRANCO,41684, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,VOTOS EM BRANCO,97269, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,VOTOS EM BRANCO,27486, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,VOTOS EM BRANCO,17953, Nulos e brancos 1989 Turno 1,1989,1
Bahia,VOTOS EM BRANCO,162443, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,VOTOS EM BRANCO,176072, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,VOTOS EM BRANCO,20373, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,VOTOS EM BRANCO,53242, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,VOTOS EM BRANCO,156621, Nulos e brancos 1989 Turno 1,1989,1
Paraná,VOTOS EM BRANCO,53297, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,VOTOS EM BRANCO,26354, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,VOTOS EM BRANCO,57522, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,VOTOS EM BRANCO,13218, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,VOTOS EM BRANCO,14819, Nulos e brancos 1989 Turno 1,1989,1
Goiás,VOTOS EM BRANCO,31148, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,VOTOS EM BRANCO,4580, Nulos e brancos 1989 Turno 1,1989,1
Rondônia,VOTOS NULOS,24080, Nulos e brancos 1989 Turno 1,1989,1
Acre,VOTOS NULOS,9626, Nulos e brancos 1989 Turno 1,1989,1
Amazonas,VOTOS NULOS,21632, Nulos e brancos 1989 Turno 1,1989,1
Roraima,VOTOS NULOS,1572, Nulos e brancos 1989 Turno 1,1989,1
Pará,VOTOS NULOS,73179, Nulos e brancos 1989 Turno 1,1989,1
Amapá,VOTOS NULOS,3594, Nulos e brancos 1989 Turno 1,1989,1
Tocantins,VOTOS NULOS,21292, Nulos e brancos 1989 Turno 1,1989,1
Maranhão,VOTOS NULOS,116741, Nulos e brancos 1989 Turno 1,1989,1
Piauí,VOTOS NULOS,77794, Nulos e brancos 1989 Turno 1,1989,1
Ceará,VOTOS NULOS,153867, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,VOTOS NULOS,111817, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,VOTOS NULOS,125005, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,VOTOS NULOS,286474, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,VOTOS NULOS,78847, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,VOTOS NULOS,63228, Nulos e brancos 1989 Turno 1,1989,1
Bahia,VOTOS NULOS,497679, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,VOTOS NULOS,466421, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,VOTOS NULOS,67529, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,VOTOS NULOS,186259, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,VOTOS NULOS,545295, Nulos e brancos 1989 Turno 1,1989,1
Paraná,VOTOS NULOS,188574, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,VOTOS NULOS,85997, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,VOTOS NULOS,98262, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,VOTOS NULOS,30110, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,VOTOS NULOS,39030, Nulos e brancos 1989 Turno 1,1989,1
Goiás,VOTOS NULOS,95220, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,VOTOS NULOS,18691, Nulos e brancos 1989 Turno 1,1989,1
Rondônia,VOTOS NOS CANDIDATOS,386734, Nulos e brancos 1989 Turno 1,1989,1
Acre,VOTOS NOS CANDIDATOS,128010, Nulos e brancos 1989 Turno 1,1989,1
Amazonas,VOTOS NOS CANDIDATOS,595869, Nulos e brancos 1989 Turno 1,1989,1
Roraima,VOTOS NOS CANDIDATOS,53797, Nulos e brancos 1989 Turno 1,1989,1
Pará,VOTOS NOS CANDIDATOS,1525326, Nulos e brancos 1989 Turno 1,1989,1
Amapá,VOTOS NOS CANDIDATOS,87271, Nulos e brancos 1989 Turno 1,1989,1
Tocantins,VOTOS NOS CANDIDATOS,289000, Nulos e brancos 1989 Turno 1,1989,1
Maranhão,VOTOS NOS CANDIDATOS,1299262, Nulos e brancos 1989 Turno 1,1989,1
Piauí,VOTOS NOS CANDIDATOS,965072, Nulos e brancos 1989 Turno 1,1989,1
