estado,situacao,votos,eleicao,ano,turno
Ceará,VOTOS NULOS,153867, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,VOTOS NULOS,111817, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,VOTOS NULOS,125005, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,VOTOS NULOS,286474, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,VOTOS NULOS,78847, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,VOTOS NULOS,63228, Nulos e brancos 1989 Turno 1,1989,1
Bahia,VOTOS NULOS,497679, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,VOTOS NULOS,466421, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,VOTOS NULOS,67529, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,VOTOS NULOS,186259, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,VOTOS NULOS,545295, Nulos e brancos 1989 Turno 1,1989,1
Paraná,VOTOS NULOS,188574, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,VOTOS NULOS,85997, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,VOTOS NULOS,98262, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,VOTOS NULOS,30110, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,VOTOS NULOS,39030, Nulos e brancos 1989 Turno 1,1989,1
Goiás,VOTOS NULOS,95220, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,VOTOS NULOS,18691, Nulos e brancos 1989 Turno 1,1989,1
Rondônia,Fernando Collor,165607,Presidente,1989,1
Acre,Fernando Collor,49862,Presidente,1989,1
Amazonas,Fernando Collor,300848,Presidente,1989,1
Roraima,Fernando Collor,32130,Presidente,1989,1
Pará,Fernando Collor,793384,Presidente,1989,1
Amapá,Fernando Collor,42255,Presidente,1989,1
Tocantins,Fernando Collor,164964,Presidente,1989,1
Maranhão,Fernando Collor,609758,Presidente,1989,1
Piauí,Fernando Collor,383632,Presidente,1989,1
Ceará,Fernando Collor,861030,Presidente,1989,1
R. G. do Norte,Fernando Collor,326878,Presidente,1989,1
Paraíba,Fernando Collor,457129,Presidente,1989,1
Pernambuco,Fernando Collor,1066986,Presidente,1989,1
Alagoas,Fernando Collor,554612,Presidente,1989,1
Sergipe,Fernando Collor,301730,Presidente,1989,1
Bahia,Fernando Collor,1408614,Presidente,1989,1
Minas Gerais,Fernando Collor,2801422,Presidente,1989,1
Espírito Santo,Fernando Collor,468910,Presidente,1989,1
Rio de Janeiro,Fernando Collor,1189385,Presidente,1989,1
São Paulo,Fernando Collor,4085223,Presidente,1989,1
Paraná,Fernando Collor,1738216,Presidente,1989,1
Santa Catarina,Fernando Collor,566990,Presidente,1989,1
R. G. do Sul,Fernando Collor,480842,Presidente,1989,1
M. G. do Sul,Fernando Collor,436539,Presidente,1989,1
Mato Grosso,Fernando Collor,344973,Presidente,1989,1
Goiás,Fernando Collor,803199,Presidente,1989,1
Distrito Federal,Fernando Collor,172818,Presidente,1989,1
Acre,ABSTENÇÃO,56769,Nulos e Brancos 1994 Turno 1,1994,1
Amazonas,ABSTENÇÃO,306465,Nulos e Brancos 1994 Turno 1,1994,1
Roraima,ABSTENÇÃO,25986,Nulos e Brancos 1994 Turno 1,1994,1
Pará,ABSTENÇÃO,914818,Nulos e Brancos 1994 Turno 1,1994,1
Amapá,ABSTENÇÃO,54545,Nulos e Brancos 1994 Turno 1,1994,1
Tocantins,ABSTENÇÃO,204873,Nulos e Brancos 1994 Turno 1,1994,1
Maranhão,ABSTENÇÃO,798266,Nulos e Brancos 1994 Turno 1,1994,1
Piauí,ABSTENÇÃO,363008,Nulos e Brancos 1994 Turno 1,1994,1
Ceará,ABSTENÇÃO,881748,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Norte,ABSTENÇÃO,236988,Nulos e Brancos 1994 Turno 1,1994,1
Paraíba,ABSTENÇÃO,471857,Nulos e Brancos 1994 Turno 1,1994,1
Pernambuco,ABSTENÇÃO,943966,Nulos e Brancos 1994 Turno 1,1994,1
Alagoas,ABSTENÇÃO,177923,Nulos e Brancos 1994 Turno 1,1994,1
Sergipe,ABSTENÇÃO,163619,Nulos e Brancos 1994 Turno 1,1994,1
Bahia,ABSTENÇÃO,1875244,Nulos e Brancos 1994 Turno 1,1994,1
Minas Gerais,ABSTENÇÃO,1722478,Nulos e Brancos 1994 Turno 1,1994,1
Espírito Santo,ABSTENÇÃO,294919,Nulos e Brancos 1994 Turno 1,1994,1
Rio de Janeiro,ABSTENÇÃO,1385814,Nulos e Brancos 1994 Turno 1,1994,1
São Paulo,ABSTENÇÃO,2361743,Nulos e Brancos 1994 Turno 1,1994,1
Paraná,ABSTENÇÃO,1002593,Nulos e Brancos 1994 Turno 1,1994,1
Santa Catarina,ABSTENÇÃO,416859,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Sul,ABSTENÇÃO,746740,Nulos e Brancos 1994 Turno 1,1994,1
M. G. do Sul,ABSTENÇÃO,213895,Nulos e Brancos 1994 Turno 1,1994,1
Mato Grosso,ABSTENÇÃO,342260,Nulos e Brancos 1994 Turno 1,1994,1
Goiás,ABSTENÇÃO,500218,Nulos e Brancos 1994 Turno 1,1994,1
Distrito Federal,ABSTENÇÃO,147069,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,VOTOS EM BRANCO,41357,Nulos e Brancos 1994 Turno 1,1994,1
Acre,VOTOS EM BRANCO,23843,Nulos e Brancos 1994 Turno 1,1994,1
Amazonas,VOTOS EM BRANCO,47272,Nulos e Brancos 1994 Turno 1,1994,1
Roraima,VOTOS EM BRANCO,4112,Nulos e Brancos 1994 Turno 1,1994,1
Pará,VOTOS EM BRANCO,220796,Nulos e Brancos 1994 Turno 1,1994,1
Amapá,VOTOS EM BRANCO,6777,Nulos e Brancos 1994 Turno 1,1994,1
Tocantins,VOTOS EM BRANCO,50943,Nulos e Brancos 1994 Turno 1,1994,1
Maranhão,VOTOS EM BRANCO,349663,Nulos e Brancos 1994 Turno 1,1994,1
Piauí,VOTOS EM BRANCO,147630,Nulos e Brancos 1994 Turno 1,1994,1
Ceará,VOTOS EM BRANCO,401514,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Norte,VOTOS EM BRANCO,171304,Nulos e Brancos 1994 Turno 1,1994,1
Paraíba,VOTOS EM BRANCO,219564,Nulos e Brancos 1994 Turno 1,1994,1
Pernambuco,VOTOS EM BRANCO,475211,Nulos e Brancos 1994 Turno 1,1994,1
Alagoas,VOTOS EM BRANCO,130622,Nulos e Brancos 1994 Turno 1,1994,1
Sergipe,VOTOS EM BRANCO,94294,Nulos e Brancos 1994 Turno 1,1994,1
Bahia,VOTOS EM BRANCO,717319,Nulos e Brancos 1994 Turno 1,1994,1
Minas Gerais,VOTOS EM BRANCO,958568,Nulos e Brancos 1994 Turno 1,1994,1
Espírito Santo,VOTOS EM BRANCO,113816,Nulos e Brancos 1994 Turno 1,1994,1
Rio de Janeiro,VOTOS EM BRANCO,474505,Nulos e Brancos 1994 Turno 1,1994,1
São Paulo,VOTOS EM BRANCO,1087432,Nulos e Brancos 1994 Turno 1,1994,1
Paraná,VOTOS EM BRANCO,459499,Nulos e Brancos 1994 Turno 1,1994,1
Santa Catarina,VOTOS EM BRANCO,189151,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Sul,VOTOS EM BRANCO,436171,Nulos e Brancos 1994 Turno 1,1994,1
M. G. do Sul,VOTOS EM BRANCO,64704,Nulos e Brancos 1994 Turno 1,1994,1
Mato Grosso,VOTOS EM BRANCO,69570,Nulos e Brancos 1994 Turno 1,1994,1
Goiás,VOTOS EM BRANCO,199622,Nulos e Brancos 1994 Turno 1,1994,1
Distrito Federal,VOTOS EM BRANCO,36597,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,VOTOS NULOS,29501,Nulos e Brancos 1994 Turno 1,1994,1
Acre,VOTOS NULOS,15665,Nulos e Brancos 1994 Turno 1,1994,1
Amazonas,VOTOS NULOS,58428,Nulos e Brancos 1994 Turno 1,1994,1
Roraima,VOTOS NULOS,5076,Nulos e Brancos 1994 Turno 1,1994,1
Pará,VOTOS NULOS,162565,Nulos e Brancos 1994 Turno 1,1994,1
Amapá,VOTOS NULOS,6597,Nulos e Brancos 1994 Turno 1,1994,1
Tocantins,VOTOS NULOS,47244,Nulos e Brancos 1994 Turno 1,1994,1
Maranhão,VOTOS NULOS,205801,Nulos e Brancos 1994 Turno 1,1994,1
Piauí,VOTOS NULOS,195599,Nulos e Brancos 1994 Turno 1,1994,1
Ceará,VOTOS NULOS,242858,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Norte,VOTOS NULOS,139187,Nulos e Brancos 1994 Turno 1,1994,1
Paraíba,VOTOS NULOS,191677,Nulos e Brancos 1994 Turno 1,1994,1
Pernambuco,VOTOS NULOS,481100,Nulos e Brancos 1994 Turno 1,1994,1
Alagoas,VOTOS NULOS,159280,Nulos e Brancos 1994 Turno 1,1994,1
Sergipe,VOTOS NULOS,112291,Nulos e Brancos 1994 Turno 1,1994,1
Bahia,VOTOS NULOS,715171,Nulos e Brancos 1994 Turno 1,1994,1
Minas Gerais,VOTOS NULOS,879846,Nulos e Brancos 1994 Turno 1,1994,1
Espírito Santo,VOTOS NULOS,111172,Nulos e Brancos 1994 Turno 1,1994,1
Rio de Janeiro,VOTOS NULOS,692746,Nulos e Brancos 1994 Turno 1,1994,1
São Paulo,VOTOS NULOS,1755493,Nulos e Brancos 1994 Turno 1,1994,1
Paraná,VOTOS NULOS,335755,Nulos e Brancos 1994 Turno 1,1994,1
Santa Catarina,VOTOS NULOS,174867,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Sul,VOTOS NULOS,302650,Nulos e Brancos 1994 Turno 1,1994,1
M. G. do Sul,VOTOS NULOS,76505,Nulos e Brancos 1994 Turno 1,1994,1
Mato Grosso,VOTOS NULOS,95799,Nulos e Brancos 1994 Turno 1,1994,1
Goiás,VOTOS NULOS,186128,Nulos e Brancos 1994 Turno 1,1994,1
Distrito Federal,VOTOS NULOS,64143,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,Fernando Henrique Cardoso PSDB (PFL-PTB),259418,Presidente,1994,1
Acre,Fernando Henrique Cardoso PSDB (PFL-PTB),90132,Presidente,1994,1
Amazonas,Fernando Henrique Cardoso PSDB (PFL-PTB),419742,Presidente,1994,1
Roraima,Fernando Henrique Cardoso PSDB (PFL-PTB),60693,Presidente,1994,1
Pará,Fernando Henrique Cardoso PSDB (PFL-PTB),809793,Presidente,1994,1
Amapá,Fernando Henrique Cardoso PSDB (PFL-PTB),76397,Presidente,1994,1
Tocantins,Fernando Henrique Cardoso PSDB (PFL-PTB),234699,Presidente,1994,1
Maranhão,Fernando Henrique Cardoso PSDB (PFL-PTB),785417,Presidente,1994,1
Piauí,Fernando Henrique Cardoso PSDB (PFL-PTB),476404,Presidente,1994,1
Ceará,Fernando Henrique Cardoso PSDB (PFL-PTB),1517698,Presidente,1994,1
R. G. do Norte,Fernando Henrique Cardoso PSDB (PFL-PTB),606681,Presidente,1994,1
Paraíba,Fernando Henrique Cardoso PSDB (PFL-PTB),761876,Presidente,1994,1
Pernambuco,Fernando Henrique Cardoso PSDB (PFL-PTB),1381756,Presidente,1994,1
Alagoas,Fernando Henrique Cardoso PSDB (PFL-PTB),525036,Presidente,1994,1
Sergipe,Fernando Henrique Cardoso PSDB (PFL-PTB),270984,Presidente,1994,1
Bahia,Fernando Henrique Cardoso PSDB (PFL-PTB),1951179,Presidente,1994,1
Minas Gerais,Fernando Henrique Cardoso PSDB (PFL-PTB),4536780,Presidente,1994,1
Espírito Santo,Fernando Henrique Cardoso PSDB (PFL-PTB),714958,Presidente,1994,1
Rio de Janeiro,Fernando Henrique Cardoso PSDB (PFL-PTB),3102664,Presidente,1994,1
São Paulo,Fernando Henrique Cardoso PSDB (PFL-PTB),8679287,Presidente,1994,1
Paraná,Fernando Henrique Cardoso PSDB (PFL-PTB),2382093,Presidente,1994,1
Santa Catarina,Fernando Henrique Cardoso PSDB (PFL-PTB),789001,Presidente,1994,1
R. G. do Sul,Fernando Henrique Cardoso PSDB (PFL-PTB),1422390,Presidente,1994,1
M. G. do Sul,Fernando Henrique Cardoso PSDB (PFL-PTB),512527,Presidente,1994,1
Mato Grosso,Fernando Henrique Cardoso PSDB (PFL-PTB),495956,Presidente,1994,1
Goiás,Fernando Henrique Cardoso PSDB (PFL-PTB),1171550,Presidente,1994,1
Distrito Federal,Fernando Henrique Cardoso PSDB (PFL-PTB),315106,Presidente,1994,1
Rondônia,ABSTENÇÃO,250775,Nulos e Brancos 1998 Turno 1,1998,1
Acre,ABSTENÇÃO,79357,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,ABSTENÇÃO,398436,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,ABSTENÇÃO,36897,Nulos e Brancos 1998 Turno 1,1998,1
Pará,ABSTENÇÃO,1073095,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,ABSTENÇÃO,28941,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,ABSTENÇÃO,125466,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,ABSTENÇÃO,927689,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,ABSTENÇÃO,434557,Nulos e Brancos 1998 Turno 1,1998,1
Ceará,ABSTENÇÃO,1001071,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,ABSTENÇÃO,329355,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,ABSTENÇÃO,547654,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,ABSTENÇÃO,1309413,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,ABSTENÇÃO,390465,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,ABSTENÇÃO,234205,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,ABSTENÇÃO,2525806,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,ABSTENÇÃO,2349275,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,ABSTENÇÃO,418119,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,ABSTENÇÃO,2018001,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,ABSTENÇÃO,3850497,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,ABSTENÇÃO,1348511,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,ABSTENÇÃO,573108,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,ABSTENÇÃO,1023119,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,ABSTENÇÃO,259790,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,ABSTENÇÃO,439757,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,ABSTENÇÃO,607401,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,ABSTENÇÃO,196417,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,VOTOS EM BRANCO,46365,Nulos e Brancos 1998 Turno 1,1998,1
Acre,VOTOS EM BRANCO,17538,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,VOTOS EM BRANCO,49378,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,VOTOS EM BRANCO,2147,Nulos e Brancos 1998 Turno 1,1998,1
Pará,VOTOS EM BRANCO,150452,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,VOTOS EM BRANCO,2397,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,VOTOS EM BRANCO,46295,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,VOTOS EM BRANCO,284601,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,VOTOS EM BRANCO,186072,Nulos e Brancos 1998 Turno 1,1998,1
Ceará,VOTOS EM BRANCO,272975,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,VOTOS EM BRANCO,205976,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,VOTOS EM BRANCO,221533,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,VOTOS EM BRANCO,411066,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,VOTOS EM BRANCO,62821,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,VOTOS EM BRANCO,111518,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,VOTOS EM BRANCO,767304,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,VOTOS EM BRANCO,893201,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,VOTOS EM BRANCO,104090,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,VOTOS EM BRANCO,263531,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,VOTOS EM BRANCO,1229016,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,VOTOS EM BRANCO,362179,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,VOTOS EM BRANCO,190390,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,VOTOS EM BRANCO,407055,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,VOTOS EM BRANCO,57510,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,VOTOS EM BRANCO,88684,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,VOTOS EM BRANCO,235201,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,VOTOS EM BRANCO,18944,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,VOTOS NULOS,51510,Nulos e Brancos 1998 Turno 1,1998,1
Acre,VOTOS NULOS,28979,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,VOTOS NULOS,93460,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,VOTOS NULOS,15680,Nulos e Brancos 1998 Turno 1,1998,1
Pará,VOTOS NULOS,200393,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,VOTOS NULOS,20633,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,VOTOS NULOS,54563,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,VOTOS NULOS,261234,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,VOTOS NULOS,156887,Nulos e Brancos 1998 Turno 1,1998,1
